peak_budget,workload_budget,reward,p_hard,queries
6.0,1.0,0.6542575073242187,0.2,5.0
6.0,2.0,0.6585150146484375,0.4,5.0
6.0,3.0,0.6627725219726562,0.6,5.0
6.0,4.0,0.667030029296875,0.8,5.0
6.0,5.0,0.6712875366210938,1.0,5.0
6.0,6.0,0.6712875366210938,1.0,5.0
6.0,7.0,0.6712875366210938,1.0,5.0
6.0,8.0,0.6712875366210938,1.0,5.0
6.0,9.0,0.6712875366210938,1.0,5.0
6.0,10.0,0.6712875366210938,1.0,5.0
6.0,11.0,0.6712875366210938,1.0,5.0
6.0,12.0,0.6712875366210938,1.0,5.0
6.0,13.0,0.6712875366210938,1.0,5.0
6.0,14.0,0.6712875366210938,1.0,5.0
6.0,15.0,0.6712875366210938,1.0,5.0
6.0,16.0,0.6712875366210938,1.0,5.0
6.0,17.0,0.6712875366210938,1.0,5.0
6.0,18.0,0.6712875366210938,1.0,5.0
6.0,19.0,0.6712875366210938,1.0,5.0
6.0,20.0,0.6712875366210938,1.0,5.0
6.0,21.0,0.6712875366210938,1.0,5.0
7.0,0.0,0.65,0.0,0.0
7.0,1.0,0.6575624694824219,0.14,7.0
7.0,2.0,0.6651249389648437,0.28,7.0
7.0,3.0,0.6726874084472656,0.42,7.0
7.0,4.0,0.680790054321289,0.57,7.0
7.0,5.0,0.6883525238037109,0.71,7.0
7.0,6.0,0.6959149932861328,0.85,7.0
7.0,7.0,0.7040176391601562,1.0,7.0
7.0,8.0,0.7040176391601562,1.0,7.0
7.0,9.0,0.7040176391601562,1.0,7.0
7.0,10.0,0.7040176391601562,1.0,7.0
7.0,11.0,0.7040176391601562,1.0,7.0
7.0,12.0,0.7040176391601562,1.0,7.0
7.0,13.0,0.7040176391601562,1.0,7.0
7.0,14.0,0.7040176391601562,1.0,7.0
7.0,15.0,0.7040176391601562,1.0,7.0
7.0,16.0,0.7040176391601562,1.0,7.0
7.0,17.0,0.7040176391601562,1.0,7.0
7.0,18.0,0.7040176391601562,1.0,7.0
7.0,19.0,0.7040176391601562,1.0,7.0
7.0,20.0,0.7040176391601562,1.0,7.0
7.0,21.0,0.7040176391601562,1.0,7.0
8.0,0.0,0.65,0.0,0.0
8.0,1.0,0.6575624694824219,0.14,7.0
8.0,2.0,0.6651249389648437,0.28,7.0
8.0,3.0,0.6726874084472656,0.42,7.0
